force, startX, endX, deltaX, deltaXDeg
0, 0, 0, 0, 0
200, -7, -7, 0, 0.000000
400, -7, -7, 0, 0.000000
600, -7, -7, 0, 0.000000
800, -7, -7, 0, 0.000000
1000, -7, -7, 0, 0.000000
1200, -7, -7, 0, 0.000000
1400, -7, -7, 0, 0.000000
1600, -7, 22, 29, 1.373375
1800, 20, 55, 35, 1.593115
2000, 54, 132, 78, 3.515840
2200, 136, 318, 182, 8.185314
2400, 282, 545, 263, 11.811024
2600, 288, 651, 363, 16.315693
2800, 289, 714, 425, 19.117378
3000, 288, 755, 467, 20.985168
3200, 288, 816, 528, 23.731916
3400, 285, 857, 572, 25.764511
3600, 285, 924, 639, 28.785936
3800, 286, 956, 670, 30.159311
4000, 277, 1021, 744, 33.455410
4200, 272, 1043, 771, 34.663982
4400, 289, 1148, 859, 38.619301
4600, 285, 1190, 905, 40.761765
4800, 286, 1237, 951, 42.794361
5000, 286, 1300, 1014, 45.650978
5200, 289, 1332, 1043, 46.914486
5400, 282, 1382, 1100, 49.496429
5600, 275, 1404, 1129, 50.814869
5800, 260, 1414, 1154, 51.913570
6000, 277, 1478, 1201, 54.056034
6200, 282, 1531, 1249, 56.198498
6400, 281, 1561, 1280, 57.626808
6600, 277, 1593, 1316, 59.219925
6800, 282, 1644, 1362, 61.307453
7000, 272, 1687, 1415, 63.669659
7200, 272, 1703, 1431, 64.383812
7400, 250, 1718, 1468, 66.031860
7600, 236, 1746, 1510, 67.954590
7800, 269, 1824, 1555, 69.987183
8000, 271, 1865, 1594, 71.745102
8200, 271, 1887, 1616, 72.733932
8400, 267, 1936, 1669, 75.096138
8600, 272, 1984, 1712, 77.018860
8800, 275, 2008, 1733, 78.007690
9000, 247, 2003, 1756, 79.051453
9200, 204, 2018, 1814, 81.633400
9400, 267, 2132, 1865, 83.885735
9600, 271, 2163, 1892, 85.149239
9800, 250, 2187, 1937, 87.126900
10000, 256, 2254, 1998, 89.873650
