ppAmpDI, ppAmpPct, periodReqMs, periodActMs, startXPct, endXPct, deltaXPct, rawStartX, rawEndX, rawDeltaX, deltaXDeg
200, 2.00, 600, 605, 0.09, 0.09, 0.00, 8199, 8199, 0, 0.0000
400, 4.00, 600, 606, 0.09, 0.09, 0.00, 8199, 8199, 0, 0.0000
600, 6.00, 600, 605, 0.09, 0.09, 0.00, 8199, 8199, 0, 0.0000
800, 8.00, 600, 605, 0.09, 0.09, 0.00, 8199, 8199, 0, 0.0000
1000, 10.00, 600, 608, 0.09, 0.09, 0.00, 8199, 8199, 0, 0.0000
1200, 12.00, 600, 605, 0.09, 0.09, 0.00, 8199, 8199, 0, 0.0000
1400, 14.00, 600, 605, 0.09, 0.09, 0.00, 8199, 8199, 0, 0.0000
1600, 16.00, 600, 604, -0.27, 0.43, 0.70, 8169, 8227, 58, 3.1862
1800, 18.00, 600, 605, -0.61, 1.30, 1.91, 8141, 8298, 157, 8.6248
2000, 20.00, 600, 605, -0.83, 1.71, 2.54, 8123, 8332, 209, 11.4814
2200, 22.00, 600, 605, -1.09, 2.17, 3.26, 8102, 8370, 268, 14.7226
2400, 24.00, 600, 606, -1.39, -1.11, 0.28, 8077, 8100, 23, 1.2635
2600, 26.00, 600, 605, -1.36, 2.81, 4.17, 8080, 8422, 342, 18.7878
2800, 28.00, 600, 606, -1.93, -1.39, 0.54, 8033, 8077, 44, 2.4171
3000, 30.00, 600, 605, -1.89, 3.31, 5.20, 8036, 8463, 427, 23.4572
3200, 32.00, 600, 604, -2.14, 3.71, 5.85, 8016, 8496, 480, 26.3688
3400, 34.00, 600, 605, -2.47, 3.85, 6.32, 7989, 8507, 518, 28.4563
3600, 36.00, 600, 605, -3.25, -2.10, 1.15, 7925, 8019, 94, 5.1639
3800, 38.00, 600, 605, -3.21, 4.68, 7.89, 7928, 8575, 647, 35.5429
4000, 40.00, 600, 607, -2.77, 5.42, 8.19, 7964, 8636, 672, 36.9163
4200, 42.00, 600, 604, -2.89, 5.26, 8.15, 7954, 8623, 669, 36.7515
4400, 44.00, 600, 608, -3.39, 5.65, 9.04, 7913, 8655, 742, 40.7618
4600, 46.00, 600, 605, -3.38, 5.93, 9.31, 7914, 8678, 764, 41.9703
4800, 48.00, 600, 608, -3.36, 6.97, 10.33, 7916, 8763, 847, 46.5299
5000, 50.00, 600, 604, -2.93, 7.30, 10.23, 7951, 8790, 839, 46.0905
5200, 52.00, 600, 605, -4.60, -1.91, 2.69, 7814, 8035, 221, 12.1406
5400, 54.00, 600, 604, -4.57, 8.47, 13.04, 7817, 8886, 1069, 58.7255
5600, 56.00, 600, 604, -4.49, -1.39, 3.10, 7823, 8077, 254, 13.9535
5800, 58.00, 600, 604, -4.48, 9.49, 13.97, 7824, 8969, 1145, 62.9006
6000, 60.00, 600, 605, -4.33, -0.94, 3.39, 7836, 8114, 278, 15.2719
6200, 62.00, 600, 604, -4.31, 10.70, 15.01, 7838, 9068, 1230, 67.5700
6400, 64.00, 600, 604, -1.76, 10.95, 12.71, 8047, 9089, 1042, 57.2423
6600, 66.00, 600, 607, -2.22, 10.91, 13.13, 8009, 9086, 1077, 59.1650
6800, 68.00, 600, 605, -4.96, -1.00, 3.96, 7785, 8109, 324, 17.7989
7000, 70.00, 600, 604, -4.95, 11.45, 16.40, 7786, 9130, 1344, 73.8326
7200, 72.00, 600, 604, -2.75, 11.27, 14.02, 7966, 9115, 1149, 63.1203
7400, 74.00, 600, 604, -3.18, 11.17, 14.35, 7931, 9107, 1176, 64.6036
7600, 76.00, 600, 604, -6.23, -1.54, 4.69, 7681, 8065, 384, 21.0950
7800, 78.00, 600, 604, -6.20, 12.16, 18.36, 7683, 9188, 1505, 82.6772
8000, 80.00, 600, 605, -3.08, 12.72, 15.80, 7939, 9234, 1295, 71.1408
8200, 82.00, 600, 603, -5.46, -0.46, 5.00, 7744, 8153, 409, 22.4684
8400, 84.00, 600, 605, -5.45, 14.86, 20.31, 7745, 9409, 1664, 91.4118
8600, 86.00, 600, 607, -4.24, 1.26, 5.50, 7844, 8295, 451, 24.7757
8800, 88.00, 600, 604, -4.21, 16.03, 20.24, 7846, 9505, 1659, 91.1372
9000, 90.00, 600, 606, -3.60, 2.25, 5.85, 7896, 8376, 480, 26.3688
9200, 92.00, 600, 603, -3.59, 18.43, 22.02, 7897, 9702, 1805, 99.1577
9400, 94.00, 600, 606, 1.48, 18.74, 17.26, 8313, 9727, 1414, 77.6781
9600, 96.00, 600, 604, 0.90, 18.17, 17.27, 8266, 9680, 1414, 77.6781
9800, 98.00, 600, 604, -3.16, 2.99, 6.15, 7932, 8437, 505, 27.7422
10000, 100.00, 600, 604, -3.14, 20.73, 23.87, 7934, 9890, 1956, 107.4529
