ppAmpDI, ppAmpPct, periodReqMs, periodActMs, startXPct, endXPct, deltaXPct, rawStartX, rawEndX, rawDeltaX, deltaXDeg
10000, 100.00, 0, 4, 0.09, 0.09, 0.00, 8199, 8199, 0, 0.0000
10000, 100.00, 12, 17, 0.09, 0.23, 0.14, 8199, 8211, 12, 0.6592
10000, 100.00, 24, 28, -0.01, 0.40, 0.41, 8190, 8225, 35, 1.9227
10000, 100.00, 36, 42, 0.29, 1.05, 0.76, 8216, 8278, 62, 3.4060
10000, 100.00, 48, 52, 0.38, 1.69, 1.31, 8223, 8330, 107, 5.8780
10000, 100.00, 60, 66, 0.65, 1.86, 1.21, 8245, 8344, 99, 5.4386
10000, 100.00, 72, 78, 0.94, 1.91, 0.97, 8269, 8348, 79, 4.3399
10000, 100.00, 84, 90, 0.89, 1.50, 0.61, 8265, 8315, 50, 2.7467
10000, 100.00, 96, 99, 0.87, 2.22, 1.35, 8263, 8374, 111, 6.0978
10000, 100.00, 108, 114, 1.99, 3.03, 1.04, 8355, 8440, 85, 4.6695
10000, 100.00, 120, 125, 2.47, 3.32, 0.85, 8394, 8464, 70, 3.8454
10000, 100.00, 132, 141, 0.82, 2.71, 1.89, 8259, 8414, 155, 8.5149
10000, 100.00, 144, 150, 0.82, 3.99, 3.17, 8259, 8519, 260, 14.2831
10000, 100.00, 156, 162, 3.28, 4.98, 1.70, 8461, 8600, 139, 7.6360
10000, 100.00, 168, 174, 2.36, 4.44, 2.08, 8385, 8556, 171, 9.3939
10000, 100.00, 180, 186, 2.36, 6.84, 4.48, 8385, 8752, 367, 20.1611
10000, 100.00, 192, 197, 5.42, 7.57, 2.15, 8636, 8812, 176, 9.6686
10000, 100.00, 204, 212, 5.51, 8.39, 2.88, 8643, 8879, 236, 12.9647
10000, 100.00, 216, 220, 6.06, 8.68, 2.62, 8688, 8903, 215, 11.8110
10000, 100.00, 228, 233, 5.62, 8.72, 3.10, 8652, 8906, 254, 13.9535
10000, 100.00, 240, 245, 5.59, 9.29, 3.70, 8650, 8953, 303, 16.6453
10000, 100.00, 252, 256, 5.65, 9.60, 3.95, 8655, 8978, 323, 17.7440
10000, 100.00, 264, 269, 5.63, 9.99, 4.36, 8653, 9010, 357, 19.6118
10000, 100.00, 276, 283, 3.55, 7.08, 3.53, 8483, 8772, 289, 15.8762
10000, 100.00, 288, 292, 3.55, 12.31, 8.76, 8483, 9200, 717, 39.3884
10000, 100.00, 300, 306, 7.47, 12.94, 5.47, 8804, 9252, 448, 24.6109
10000, 100.00, 312, 318, 6.86, 12.42, 5.56, 8754, 9209, 455, 24.9954
10000, 100.00, 324, 328, 6.08, 12.66, 6.58, 8690, 9229, 539, 29.6100
10000, 100.00, 336, 341, 6.29, 13.33, 7.04, 8707, 9284, 577, 31.6975
10000, 100.00, 348, 353, 6.23, 13.50, 7.27, 8702, 9298, 596, 32.7413
10000, 100.00, 360, 367, 3.14, 8.07, 4.93, 8449, 8853, 404, 22.1937
10000, 100.00, 372, 376, 3.14, 15.46, 12.32, 8449, 9458, 1009, 55.4294
10000, 100.00, 384, 387, 7.29, 15.79, 8.50, 8789, 9485, 696, 38.2348
10000, 100.00, 396, 401, 6.59, 15.85, 9.26, 8732, 9490, 758, 41.6407
10000, 100.00, 408, 414, 6.65, 16.49, 9.84, 8737, 9543, 806, 44.2776
10000, 100.00, 420, 426, 6.69, 16.75, 10.06, 8740, 9564, 824, 45.2664
10000, 100.00, 432, 438, 3.27, 8.86, 5.59, 8460, 8918, 458, 25.1602
10000, 100.00, 444, 448, 3.27, 19.13, 15.86, 8460, 9759, 1299, 71.3606
10000, 100.00, 456, 462, 5.16, 10.82, 5.66, 8615, 9078, 463, 25.4349
10000, 100.00, 468, 472, 5.16, 21.85, 16.69, 8615, 9982, 1367, 75.0961
10000, 100.00, 480, 487, 6.87, 12.38, 5.51, 8755, 9206, 451, 24.7757
10000, 100.00, 492, 497, 6.87, 25.31, 18.44, 8755, 10265, 1510, 82.9518
10000, 100.00, 504, 509, 8.90, 14.96, 6.06, 8921, 9417, 496, 27.2478
10000, 100.00, 516, 520, 8.90, 27.96, 19.06, 8921, 10482, 1561, 85.7535
10000, 100.00, 528, 534, 13.55, 28.08, 14.53, 9302, 10492, 1190, 65.3726
10000, 100.00, 540, 546, 9.56, 16.07, 6.51, 8975, 9508, 533, 29.2804
10000, 100.00, 552, 557, 9.56, 30.58, 21.02, 8975, 10697, 1722, 94.5981
10000, 100.00, 564, 569, 14.58, 31.01, 16.43, 9386, 10732, 1346, 73.9425
10000, 100.00, 576, 582, 14.72, 32.01, 17.29, 9398, 10814, 1416, 77.7879
10000, 100.00, 588, 593, 14.76, 32.34, 17.58, 9401, 10841, 1440, 79.1064
