time(ms), dt, force, posX, rawPosX, posXDeg
394, 0, 0, 7, 8198, 0.357077
396, 2, 0, 7, 8198, 0.357077
397, 3, 0, 7, 8198, 0.357077
399, 5, 0, 7, 8198, 0.357077
401, 7, 0, 7, 8198, 0.357077
403, 9, 0, 7, 8198, 0.357077
405, 11, 0, 7, 8198, 0.357077
406, 12, 0, 7, 8198, 0.357077
409, 15, 0, 7, 8198, 0.357077
411, 17, 0, 7, 8198, 0.357077
413, 19, 0, 7, 8198, 0.357077
414, 20, 0, 7, 8198, 0.357077
416, 22, 0, 7, 8198, 0.357077
418, 24, 0, 7, 8198, 0.357077
420, 26, 0, 7, 8198, 0.357077
422, 28, 0, 7, 8198, 0.357077
424, 30, 0, 7, 8198, 0.357077
426, 32, 0, 7, 8198, 0.357077
428, 34, 0, 7, 8198, 0.357077
430, 36, 0, 7, 8198, 0.357077
432, 38, 0, 7, 8198, 0.357077
434, 40, 0, 7, 8198, 0.357077
436, 42, 0, 7, 8198, 0.357077
438, 44, 0, 7, 8198, 0.357077
440, 46, 0, 7, 8198, 0.357077
442, 48, 0, 7, 8198, 0.357077
444, 50, 0, 7, 8198, 0.357077
446, 52, 0, 7, 8198, 0.357077
448, 54, 0, 7, 8198, 0.357077
450, 56, 0, 7, 8198, 0.357077
452, 58, 0, 7, 8198, 0.357077
454, 60, 0, 7, 8198, 0.357077
456, 62, 0, 7, 8198, 0.357077
458, 64, 0, 7, 8198, 0.357077
459, 65, 0, 7, 8198, 0.357077
462, 68, 0, 7, 8198, 0.357077
464, 70, 0, 7, 8198, 0.357077
466, 72, 0, 7, 8198, 0.357077
470, 76, 0, 7, 8198, 0.357077
471, 77, 0, 7, 8198, 0.357077
473, 79, 0, 7, 8198, 0.357077
475, 81, 0, 7, 8198, 0.357077
477, 83, 0, 7, 8198, 0.357077
479, 85, 0, 7, 8198, 0.357077
480, 86, 0, 7, 8198, 0.357077
482, 88, 0, 7, 8198, 0.357077
484, 90, 0, 7, 8198, 0.357077
486, 92, 0, 7, 8198, 0.357077
488, 94, 0, 7, 8198, 0.357077
489, 95, 0, 7, 8198, 0.357077
491, 97, 0, 7, 8198, 0.357077
492, 98, 0, 7, 8198, 0.357077
494, 100, 0, 7, 8198, 0.357077
496, 102, 0, 7, 8198, 0.357077
497, 103, 0, 7, 8198, 0.357077
499, 105, 0, 7, 8198, 0.357077
501, 107, 0, 7, 8198, 0.357077
503, 109, 0, 7, 8198, 0.357077
505, 111, 0, 7, 8198, 0.357077
507, 113, 0, 7, 8198, 0.357077
510, 116, 0, 7, 8198, 0.357077
512, 118, 0, 7, 8198, 0.357077
514, 120, 0, 7, 8198, 0.357077
516, 122, 0, 7, 8198, 0.357077
518, 124, 0, 7, 8198, 0.357077
520, 126, 0, 7, 8198, 0.357077
522, 128, 0, 7, 8198, 0.357077
524, 130, 0, 7, 8198, 0.357077
526, 132, 0, 7, 8198, 0.357077
528, 134, 0, 7, 8198, 0.357077
530, 136, 0, 7, 8198, 0.357077
532, 138, 0, 7, 8198, 0.357077
534, 140, 0, 7, 8198, 0.357077
536, 142, 0, 7, 8198, 0.357077
538, 144, 0, 7, 8198, 0.357077
540, 146, 0, 7, 8198, 0.357077
542, 148, 0, 7, 8198, 0.357077
544, 150, 0, 7, 8198, 0.357077
546, 152, 0, 7, 8198, 0.357077
549, 155, 0, 7, 8198, 0.357077
551, 157, 0, 7, 8198, 0.357077
553, 159, 0, 7, 8198, 0.357077
555, 161, 0, 7, 8198, 0.357077
557, 163, 0, 7, 8198, 0.357077
558, 164, 0, 7, 8198, 0.357077
560, 166, 0, 7, 8198, 0.357077
562, 168, 0, 7, 8198, 0.357077
564, 170, 0, 7, 8198, 0.357077
566, 172, 0, 7, 8198, 0.357077
567, 173, 0, 7, 8198, 0.357077
569, 175, 0, 7, 8198, 0.357077
571, 177, 0, 7, 8198, 0.357077
573, 179, 0, 7, 8198, 0.357077
574, 180, 0, 7, 8198, 0.357077
576, 182, 0, 7, 8198, 0.357077
578, 184, 0, 7, 8198, 0.357077
580, 186, 0, 7, 8198, 0.357077
582, 188, 0, 7, 8198, 0.357077
584, 190, 0, 7, 8198, 0.357077
586, 192, 0, 7, 8198, 0.357077
588, 194, 0, 7, 8198, 0.357077
590, 196, 0, 7, 8198, 0.357077
592, 198, 0, 7, 8198, 0.357077
594, 200, 0, 7, 8198, 0.357077
596, 202, -50, 7, 8198, 0.357077
598, 2, -50, 7, 8198, 0.357077
603, 7, -50, 7, 8198, 0.357077
605, 9, -50, 7, 8198, 0.357077
607, 11, -50, 7, 8198, 0.357077
609, 13, -50, 7, 8198, 0.357077
611, 15, -50, 7, 8198, 0.357077
613, 17, -50, 7, 8198, 0.357077
615, 19, -50, 7, 8198, 0.357077
617, 21, -50, 7, 8198, 0.357077
618, 22, -50, 7, 8198, 0.357077
620, 24, -50, 7, 8198, 0.357077
622, 26, -50, 7, 8198, 0.357077
624, 28, -50, 7, 8198, 0.357077
626, 30, -50, 7, 8198, 0.357077
627, 31, -50, 7, 8198, 0.357077
629, 33, -50, 7, 8198, 0.357077
631, 35, -50, 7, 8198, 0.357077
633, 37, -50, 7, 8198, 0.357077
634, 38, -50, 7, 8198, 0.357077
636, 40, -50, 7, 8198, 0.357077
638, 42, -50, 7, 8198, 0.357077
643, 47, -50, 7, 8198, 0.357077
645, 49, -50, 7, 8198, 0.357077
647, 51, -50, 7, 8198, 0.357077
649, 53, -50, 7, 8198, 0.357077
650, 54, -50, 7, 8198, 0.357077
652, 56, -50, 7, 8198, 0.357077
