time(ms), dt, force, posX, rawPosX, posXDeg, velX (rad/s)
599, 2, 0, 7, 8198, 0.357077, 0.000000
601, 2, 0, 7, 8198, 0.357077, 0.000000
603, 2, 0, 7, 8198, 0.357077, 0.000000
605, 2, 0, 7, 8198, 0.357077, 0.000000
607, 2, 0, 7, 8198, 0.357077, 0.000000
609, 2, 0, 7, 8198, 0.357077, 0.000000
611, 2, 0, 7, 8198, 0.357077, 0.000000
613, 2, 0, 7, 8198, 0.357077, 0.000000
615, 2, 0, 7, 8198, 0.357077, 0.000000
617, 2, 0, 7, 8198, 0.357077, 0.000000
619, 2, 0, 7, 8198, 0.357077, 0.000000
620, 1, 0, 7, 8198, 0.357077, 0.000000
622, 2, 0, 7, 8198, 0.357077, 0.000000
624, 2, 0, 7, 8198, 0.357077, 0.000000
626, 2, 0, 7, 8198, 0.357077, 0.000000
628, 2, 0, 7, 8198, 0.357077, 0.000000
630, 2, 0, 7, 8198, 0.357077, 0.000000
632, 2, 0, 7, 8198, 0.357077, 0.000000
635, 3, 0, 7, 8198, 0.357077, 0.000000
637, 2, 0, 7, 8198, 0.357077, 0.000000
639, 2, 0, 7, 8198, 0.357077, 0.000000
641, 2, 0, 7, 8198, 0.357077, 0.000000
642, 1, 0, 7, 8198, 0.357077, 0.000000
644, 2, 0, 7, 8198, 0.357077, 0.000000
646, 2, 0, 7, 8198, 0.357077, 0.000000
648, 2, 0, 7, 8198, 0.357077, 0.000000
650, 2, 0, 7, 8198, 0.357077, 0.000000
654, 4, 0, 7, 8198, 0.357077, 0.000000
656, 2, 0, 7, 8198, 0.357077, 0.000000
658, 2, 0, 7, 8198, 0.357077, 0.000000
659, 1, 0, 7, 8198, 0.357077, 0.000000
661, 2, 0, 7, 8198, 0.357077, 0.000000
663, 2, 0, 7, 8198, 0.357077, 0.000000
665, 2, 0, 7, 8198, 0.357077, 0.000000
667, 2, 0, 7, 8198, 0.357077, 0.000000
669, 2, 0, 7, 8198, 0.357077, 0.000000
671, 2, 0, 7, 8198, 0.357077, 0.000000
672, 1, 0, 7, 8198, 0.357077, 0.000000
674, 2, 0, 7, 8198, 0.357077, 0.000000
676, 2, 0, 7, 8198, 0.357077, 0.000000
681, 5, 0, 7, 8198, 0.357077, 0.000000
683, 2, 0, 7, 8198, 0.357077, 0.000000
685, 2, 0, 7, 8198, 0.357077, 0.000000
686, 1, 0, 7, 8198, 0.357077, 0.000000
688, 2, 0, 7, 8198, 0.357077, 0.000000
690, 2, 0, 7, 8198, 0.357077, 0.000000
692, 2, 0, 7, 8198, 0.357077, 0.000000
694, 2, 0, 7, 8198, 0.357077, 0.000000
695, 1, 0, 7, 8198, 0.357077, 0.000000
697, 2, 0, 7, 8198, 0.357077, 0.000000
699, 2, 0, 7, 8198, 0.357077, 0.000000
701, 2, 0, 7, 8198, 0.357077, 0.000000
703, 2, 0, 7, 8198, 0.357077, 0.000000
